X,Y,Z,Speed_kmh
1960.0573,-1831.0590,13.3760,70.8
1960.0640,-1839.1919,13.3759,74.4
1960.0728,-1847.5271,13.3759,75.1
1960.0819,-1856.0522,13.3759,79.7
1960.0907,-1864.7506,13.3759,76.7
1960.0995,-1873.6178,13.3759,78.8
1960.1090,-1882.6628,13.3759,99.8
1960.1200,-1891.8468,13.3759,82.4
1960.1310,-1901.1930,13.3759,81.7
1960.1420,-1910.6777,13.3759,87.1
1960.1530,-1920.3037,13.3759,88.7
1960.1639,-1930.0502,13.3759,86.5
1960.1749,-1939.9086,13.3751,86.9
1960.1859,-1949.8528,13.6706,91.0
1960.1958,-1959.8818,13.7472,90.8
1960.2067,-1970.0334,13.4381,94.8
1960.2220,-1980.3199,13.3623,93.0
1960.2351,-1990.6202,13.3753,94.8
1960.2461,-2000.9309,13.3755,87.6
1960.2578,-2011.3571,13.3751,101.7
1960.2692,-2021.1281,13.3729,97.6
1960.2802,-2030.3406,13.3725,92.4
1960.2911,-2039.0443,13.3725,76.9
1960.3005,-2047.2572,13.3725,82.8
1960.3174,-2061.7583,13.3687,70.6
1960.3300,-2071.6362,13.3717,49.4
1960.3389,-2080.3245,13.3745,41.8
1961.1848,-2089.3647,13.3757,43.7
1964.0259,-2099.1851,13.3748,49.1
1971.6798,-2107.3806,13.3849,52.6
1982.8199,-2110.3555,13.3560,52.5
1995.8534,-2110.5383,13.3637,59.4
2010.6603,-2110.8176,13.3960,68.8
2026.1365,-2110.8804,13.3689,66.5
2034.2604,-2110.9219,13.3590,70.5
2042.7155,-2110.9465,13.3746,73.7
2051.4368,-2110.9668,13.3761,80.5
2060.3608,-2111.0149,13.3591,78.6
2068.9368,-2111.0791,13.3491,76.1
2077.1504,-2111.1201,13.3477,76.2
2092.5076,-2110.0149,13.3221,70.3
2106.4219,-2103.4663,13.4398,71.0
2112.9871,-2098.8289,13.5380,76.3
2118.8088,-2092.9885,13.5374,80.4
2124.1604,-2086.7915,13.5375,83.1
